site_id,treatment,pre_deployment_g,post_deployment_g,Aeshnidae,Chironomidae,Elmidae,Physidae,Hydropsychidae,Philopotamidae,Tricoptera,Corydalidae,Heptageniidae,Calopterygidae,Gomphidae,Oligachaeta,Baetidae,Planorbidae,Sphaeriidae,Corduliidae
ZL_A,ziplock,30,31.20,1,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0
ZL_B,ziplock,30,29.88,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ZL_C,ziplock,30,30.41,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CP_A,compostable,30,26.57,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_B,compostable,30,26.96,0,14,0,0,1,0,1,0,0,1,0,0,0,0,0,0
CP_C,compostable,30,28.33,3,43,1,2,0,3,0,1,1,1,0,0,0,0,0,0
BTB_A,trashbag,30,30.51,0,15,0,1,0,7,0,2,0,1,0,0,0,0,0,0
BTB_B,trashbag,30,31.79,0,42,0,2,0,8,0,1,0,0,0,0,0,0,0,0
BTB_C,trashbag,30,31.58,0,38,0,0,0,13,0,1,1,1,1,0,0,0,0,0
SB_A,shoppingbag,30,49.23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SB_B,shoppingbag,30,41.53,1,27,0,2,6,7,0,0,1,0,0,0,0,0,0,0
SB_C,shoppingbag,30,38.45,0,23,0,1,6,7,0,0,2,0,0,2,0,0,0,0
MP_A,mixedplastic,30,29.68,1,12,1,9,0,2,0,5,0,0,0,1,1,2,0,0
MP_B,mixedplastic,30,31.58,1,17,0,5,0,1,0,1,0,0,0,0,2,1,2,0
MP_C,mixedplastic,30,33.21,0,15,0,0,0,1,0,1,1,0,0,0,1,1,1,1
